,datetime,ipsrc,ipdst,dstport,proto,action,policyid,is_ip_bad
266,2024-03-11 12:46:20,192.168.182.2,192.168.182.130,54621,UDP,Permit,6,False
267,2024-03-11 12:46:20,192.168.182.2,192.168.182.130,54621,UDP,Permit,6,False
268,2024-03-11 12:46:20,192.168.182.2,192.168.182.130,53766,UDP,Permit,6,False
269,2024-03-11 12:46:20,34.107.243.93,192.168.182.130,55444,TCP,Deny,34,False
270,2024-03-11 12:46:20,34.107.243.93,192.168.182.130,55444,TCP,Deny,34,False
271,2024-03-11 12:46:20,192.168.182.2,192.168.182.130,58540,UDP,Permit,6,False
272,2024-03-11 12:46:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
273,2024-03-11 12:46:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
274,2024-03-11 12:46:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
275,2024-03-11 12:46:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
276,2024-03-11 12:46:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
277,2024-03-11 12:46:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
278,2024-03-11 12:46:43,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
279,2024-03-11 12:47:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
280,2024-03-11 12:47:18,192.168.182.2,192.168.182.130,38657,UDP,Permit,6,False
281,2024-03-11 12:47:18,34.98.75.36,192.168.182.130,38896,TCP,Deny,34,False
282,2024-03-11 12:47:18,34.98.75.36,192.168.182.130,38896,TCP,Deny,34,False
283,2024-03-11 12:47:18,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
284,2024-03-11 12:47:18,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
285,2024-03-11 12:47:19,192.168.182.2,192.168.182.130,51876,UDP,Permit,6,False
286,2024-03-11 12:47:19,34.149.100.209,192.168.182.130,34876,TCP,Deny,34,False
287,2024-03-11 12:47:36,159.84.181.103,192.168.182.130,41748,TCP,Deny,34,False
288,2024-03-11 12:47:41,159.84.181.103,192.168.182.130,41748,TCP,Deny,34,False
289,2024-03-11 12:47:41,159.84.181.103,192.168.182.130,41748,TCP,Deny,34,False
290,2024-03-11 12:47:41,159.84.181.103,192.168.182.130,41748,TCP,Deny,34,False
291,2024-03-11 12:47:45,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
292,2024-03-11 12:47:45,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
293,2024-03-11 12:47:45,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
294,2024-03-11 12:47:45,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
295,2024-03-11 12:47:52,34.117.237.239,192.168.182.130,52472,TCP,Deny,34,False
296,2024-03-11 12:47:52,34.117.237.239,192.168.182.130,52472,TCP,Deny,34,False
297,2024-03-11 12:48:17,34.160.144.191,192.168.182.130,43426,TCP,Deny,34,False
298,2024-03-11 12:48:17,34.98.75.36,192.168.182.130,38896,TCP,Deny,34,False
299,2024-03-11 12:48:17,35.201.103.21,192.168.182.130,45240,TCP,Deny,34,False
